Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
674,426,441,950,92.22,20.0,1,4
679,443,444,950,69.94,20.0,1,5
680,444,443,950,69.94,20.0,1,5
681,443,445,950,39.85,20.0,1,5
682,445,443,950,39.85,20.0,1,5
683,444,446,950,93.89,20.0,1,5
684,446,444,950,93.89,20.0,1,5
687,447,448,950,47.09,20.0,1,4
688,448,447,950,47.09,20.0,1,4
689,447,449,950,75.06,20.0,1,4
690,449,447,950,75.06,20.0,1,4
693,449,450,950,33.96,20.0,1,4
694,450,449,950,33.96,20.0,1,4
695,451,452,950,207.98,20.0,1,4
696,452,451,950,207.98,20.0,1,4
697,451,453,950,142.72,20.0,1,4
698,453,451,950,142.72,20.0,1,4
699,452,454,950,246.48,20.0,1,4
700,454,452,950,246.48,20.0,1,4
703,455,456,950,106.71,20.0,1,4
704,456,455,950,106.71,20.0,1,4
705,455,457,950,74.89,20.0,1,4
706,457,455,950,74.89,20.0,1,4
707,458,459,950,69.11,20.0,1,5
708,459,458,950,69.11,20.0,1,5
709,458,460,950,97.64,20.0,1,5
710,460,458,950,97.64,20.0,1,5
711,461,462,950,55.56,20.0,1,4
712,462,461,950,55.56,20.0,1,4
713,461,463,950,57.64,20.0,1,4
714,463,461,950,57.64,20.0,1,4
715,464,206,950,54.57,20.0,1,5
716,206,464,950,54.57,20.0,1,5
717,464,465,950,46.97,20.0,1,5
718,465,464,950,46.97,20.0,1,5
719,275,466,950,41.48,20.0,1,4
720,467,226,950,200.89,20.0,1,4
721,459,468,950,112.07,20.0,1,5
722,468,459,950,112.07,20.0,1,5
725,456,469,950,96.52,20.0,1,5
726,469,456,950,96.52,20.0,1,5
727,470,471,950,103.28,20.0,1,5
728,471,470,950,103.28,20.0,1,5
729,470,472,950,43.51,20.0,1,5
730,456,473,950,58.47,20.0,1,4
731,473,456,950,58.47,20.0,1,4
732,474,475,5400,83.3,40.0,2,3
733,475,476,950,24.87,20.0,1,5
734,476,475,950,24.87,20.0,1,5
735,475,477,950,48.52,20.0,1,5
736,477,475,950,48.52,20.0,1,5
737,475,478,5400,82.42,40.0,2,3
738,479,474,5400,86.44,40.0,2,3
741,480,481,950,125.83,20.0,1,4
742,481,480,950,125.83,20.0,1,4
743,480,482,950,96.64,20.0,1,4
744,480,483,950,153.52,20.0,1,4
745,483,480,950,153.52,20.0,1,4
746,456,484,950,68.27,20.0,1,5
747,484,456,950,68.27,20.0,1,5
748,485,486,950,41.53,20.0,1,5
749,486,485,950,41.53,20.0,1,5
750,485,487,950,80.26,20.0,1,5
